n,flops_per_sec
2,7.79221e+07
3,2.82427e+08
4,6.45295e+08
5,6.63717e+08
6,7.53857e+08
7,1.03554e+09
8,1.19492e+09
9,1.39141e+09
10,1.33929e+09
11,1.25008e+09
12,1.63069e+09
13,1.38421e+09
14,1.65169e+09
15,1.56281e+09
16,6.42184e+08
17,1.59578e+09
18,1.80006e+09
19,2.78419e+09
20,1.84774e+09
21,2.2019e+09
22,1.96828e+09
23,2.05726e+09
24,1.89864e+09
25,2.28622e+09
26,2.85975e+09
27,2.28059e+09
28,1.58999e+09
29,1.44626e+09
30,2.20076e+09
31,1.9589e+09
32,2.14982e+09
33,2.07819e+09
34,2.1476e+09
35,2.12843e+09
36,1.97165e+09
37,2.16153e+09
38,2.93268e+09
39,2.98601e+09
40,2.2628e+09
41,2.20132e+09
42,1.74433e+09
43,2.18208e+09
44,2.12931e+09
45,1.90502e+09
46,2.12701e+09
47,1.77606e+09
48,2.21678e+09
49,5.26439e+08
50,1.59097e+09
51,1.7003e+09
52,1.49399e+09
53,2.02691e+09
54,3.0166e+09
55,3.45225e+09
56,2.21777e+09
57,2.76136e+09
58,3.47164e+09
59,3.4528e+09
60,2.7426e+09
61,2.79191e+09
62,2.93918e+09
63,2.81168e+09
64,1.15201e+09
65,3.21398e+09
66,2.94286e+09
67,2.99369e+09
68,3.52443e+09
69,3.26459e+09
70,3.51983e+09
71,3.09465e+09
72,2.72806e+09
73,1.51044e+09
74,2.05434e+09
75,3.24992e+09
76,3.38674e+09
77,2.80261e+09
78,3.55661e+09
79,3.33191e+09
80,3.39018e+09
81,1.67321e+09
82,2.70646e+09
83,3.39784e+09
84,3.44616e+09
85,3.30813e+09
86,3.20514e+09
87,3.45566e+09
88,2.24366e+09
89,2.15248e+09
90,3.37633e+09
91,3.44269e+09
92,3.43761e+09
93,2.23191e+09
94,1.78053e+09
95,1.63449e+09
96,1.98094e+09
97,3.17703e+09
98,2.13915e+09
99,2.51372e+09
100,2.53517e+09
101,3.07865e+09
102,3.21733e+09
103,3.26476e+09
104,3.43965e+09
105,3.27062e+09
106,2.77986e+09
107,3.44837e+09
108,3.39655e+09
109,3.04734e+09
110,2.75508e+09
111,3.41038e+09
112,3.28995e+09
113,1.94949e+09
114,2.50501e+09
115,3.45176e+09
116,3.39858e+09
117,3.20958e+09
118,3.49128e+09
119,3.01532e+09
120,3.43104e+09
121,2.92133e+09
122,3.23755e+09
123,3.30837e+09
124,2.95383e+09
125,3.36742e+09
126,3.09003e+09
127,2.81924e+09
128,7.7102e+08
129,2.62324e+09
130,2.83025e+09
131,2.66384e+09
132,2.47295e+09
133,2.59506e+09
134,2.77137e+09
135,2.74865e+09
136,1.96573e+09
137,1.86714e+09
138,2.52008e+09
139,2.4863e+09
140,2.60406e+09
141,2.73663e+09
142,2.06842e+09
143,2.42839e+09
144,2.25221e+09
145,2.78576e+09
146,2.28203e+09
147,2.11709e+09
148,2.58386e+09
149,2.46958e+09
150,2.60814e+09
151,2.46378e+09
152,2.0276e+09
153,2.55584e+09
154,2.47208e+09
155,2.65218e+09
156,2.4414e+09
157,1.94356e+09
158,1.71597e+09
159,2.73033e+09
160,1.32657e+09
161,2.51887e+09
162,2.70658e+09
163,1.80862e+09
164,2.64056e+09
165,2.67495e+09
166,2.66308e+09
167,2.52534e+09
168,2.70483e+09
169,2.73599e+09
170,2.58763e+09
171,1.71765e+09
172,2.69684e+09
173,2.74393e+09
174,2.74915e+09
175,2.74992e+09
176,1.78826e+09
177,2.71685e+09
178,2.73319e+09
179,2.70074e+09
180,2.25705e+09
181,1.69112e+09
182,2.28849e+09
183,1.53263e+09
184,2.21247e+09
185,2.12813e+09
186,2.30875e+09
187,2.47253e+09
188,2.37676e+09
189,2.57725e+09
190,2.52689e+09
191,2.54729e+09
192,1.1366e+09
193,2.43028e+09
194,2.45567e+09
195,1.73503e+09
196,2.04887e+09
197,1.52088e+09
198,2.45845e+09
199,2.38604e+09
200,2.33474e+09
201,2.35301e+09
202,2.36327e+09
203,2.44548e+09
204,2.49861e+09
205,1.71685e+09
206,2.35374e+09
207,2.2515e+09
208,1.53676e+09
209,1.43854e+09
210,1.96675e+09
211,2.25932e+09
