n,flops_per_sec
2,4.65374e+07
3,9.86482e+07
4,1.41915e+08
5,1.38841e+08
6,1.63662e+08
7,1.57097e+08
8,1.57222e+08
9,1.12413e+08
10,1.67679e+08
11,1.79228e+08
12,1.68246e+08
13,1.95917e+08
14,1.53913e+08
15,1.54008e+08
16,1.54402e+08
17,1.30879e+08
18,1.55904e+08
19,1.56823e+08
20,1.57696e+08
21,1.70233e+08
22,1.59687e+08
23,1.48989e+08
24,1.71343e+08
25,1.75666e+08
26,1.46546e+08
27,2.03337e+08
28,1.72925e+08
29,1.67202e+08
30,2.39674e+08
31,2.43465e+08
32,2.16797e+08
33,1.47336e+08
34,1.81334e+08
35,2.28144e+08
36,2.46889e+08
37,2.51575e+08
38,1.87791e+08
39,2.40944e+08
40,1.81147e+08
41,2.45827e+08
42,1.5992e+08
43,1.73228e+08
44,2.485e+08
45,1.37472e+08
46,2.18401e+08
47,1.9543e+08
48,2.46404e+08
49,2.15642e+08
50,2.02654e+08
51,2.5117e+08
52,2.12907e+08
53,2.37863e+08
54,2.25991e+08
55,2.51057e+08
56,2.34112e+08
57,2.58925e+08
58,2.49714e+08
59,2.37589e+08
60,2.57906e+08
61,2.48369e+08
62,2.4607e+08
63,2.56685e+08
64,2.42463e+08
65,2.41132e+08
66,1.94309e+08
67,2.34138e+08
68,2.187e+08
69,2.33557e+08
70,2.24701e+08
71,2.51942e+08
72,2.50982e+08
73,2.41818e+08
74,2.46746e+08
75,2.41616e+08
76,2.46277e+08
77,2.41263e+08
78,2.50635e+08
79,2.41208e+08
80,2.5225e+08
81,2.3986e+08
82,2.42166e+08
83,2.22471e+08
84,2.31315e+08
85,2.38448e+08
86,2.20405e+08
87,2.19294e+08
88,2.39729e+08
89,2.27567e+08
90,1.92594e+08
91,1.98595e+08
92,2.26347e+08
93,2.43649e+08
94,2.36851e+08
95,2.52748e+08
96,2.54077e+08
97,2.5637e+08
98,2.44532e+08
99,2.53324e+08
100,2.55953e+08
101,2.46787e+08
102,2.54144e+08
103,2.5485e+08
104,2.56641e+08
105,2.25506e+08
106,2.39935e+08
107,2.18058e+08
108,2.51972e+08
109,2.50481e+08
110,2.51281e+08
111,2.54133e+08
112,2.48213e+08
113,2.2004e+08
114,2.30199e+08
115,2.2467e+08
116,2.48558e+08
117,2.51304e+08
118,2.57261e+08
119,2.48035e+08
120,2.48822e+08
121,2.31749e+08
122,2.27962e+08
123,2.41617e+08
124,2.42512e+08
125,2.38945e+08
126,2.28128e+08
127,2.27884e+08
128,2.43515e+08
129,2.44895e+08
130,2.35119e+08
131,2.45853e+08
132,2.43414e+08
133,2.31326e+08
134,2.44286e+08
135,2.57299e+08
136,2.58267e+08
137,2.56884e+08
138,2.44124e+08
139,2.4483e+08
140,2.44669e+08
141,2.37524e+08
142,2.39377e+08
143,2.49108e+08
144,2.55495e+08
145,2.55323e+08
146,2.40631e+08
147,2.36044e+08
148,2.39807e+08
149,2.3682e+08
151,2.5359e+08
152,2.42434e+08
153,2.44108e+08
154,2.37054e+08
155,2.48619e+08
156,2.43906e+08
157,2.50361e+08
158,2.49339e+08
159,2.48368e+08
160,2.4907e+08
161,2.47815e+08
162,2.48591e+08
163,2.53361e+08
164,2.35298e+08
165,2.45062e+08
166,2.24471e+08
167,2.47997e+08
168,2.45494e+08
169,2.41647e+08
170,2.5684e+08
171,2.49872e+08
172,2.53525e+08
173,2.5344e+08
174,2.58499e+08
175,2.35576e+08
176,2.59505e+08
177,2.39502e+08
178,2.53024e+08
179,2.44804e+08
180,2.58826e+08
181,2.33621e+08
182,2.58957e+08
183,2.5787e+08
184,2.54041e+08
185,2.55135e+08
186,2.4066e+08
187,2.45561e+08
188,2.26945e+08
189,2.42894e+08
190,2.53624e+08
191,2.53322e+08
192,2.53454e+08
193,2.52021e+08
194,2.52404e+08
195,2.53174e+08
196,2.46591e+08
197,2.54781e+08
198,2.48939e+08
199,2.51767e+08
200,2.55329e+08
201,2.50206e+08
202,2.52402e+08
203,2.52227e+08
204,2.49785e+08
205,2.45299e+08
206,2.49856e+08
207,2.43658e+08
208,2.47995e+08
209,2.49513e+08
210,2.43938e+08
211,2.38686e+08
212,2.53735e+08
213,2.51664e+08
214,2.45347e+08
215,2.50127e+08
216,2.47069e+08
217,2.52138e+08
218,2.50097e+08
219,2.48105e+08
220,2.47972e+08
221,2.48523e+08
222,2.46706e+08
223,2.51295e+08
224,2.48713e+08
225,2.48067e+08
226,2.49881e+08
227,2.57885e+08
228,2.5033e+08
229,2.47894e+08
230,2.55731e+08
231,2.48885e+08
232,2.50856e+08
233,2.52531e+08
234,2.44857e+08
235,2.52832e+08
236,2.51553e+08
237,2.52036e+08
238,2.47289e+08
239,2.49835e+08
240,2.49326e+08
241,2.46878e+08
242,2.5188e+08
243,2.49044e+08
244,2.47082e+08
245,2.53021e+08
246,2.53786e+08
248,2.56104e+08
249,2.47624e+08
250,2.53797e+08
251,2.56464e+08
252,2.41214e+08
253,2.43089e+08
254,2.47135e+08
255,2.41636e+08
256,2.46063e+08
257,2.40504e+08
258,2.42868e+08
259,2.47742e+08
260,2.50966e+08
261,2.40838e+08
262,2.44888e+08
263,2.44336e+08
264,2.37231e+08
265,2.41972e+08
266,2.41799e+08
267,2.35856e+08
268,2.32325e+08
269,2.37521e+08
270,2.43992e+08
271,2.41425e+08
272,2.40814e+08
273,2.39655e+08
274,2.42578e+08
275,2.45006e+08
276,2.29759e+08
277,2.45566e+08
278,2.52881e+08
279,2.44884e+08
280,2.3964e+08
281,2.43548e+08
282,2.45863e+08
283,2.45332e+08
284,2.46592e+08
285,2.44196e+08
286,2.44552e+08
287,2.39343e+08
288,2.43424e+08
289,9.47806e+08
290,2.46379e+08
291,2.41635e+08
292,2.47464e+08
293,2.43979e+08
294,2.44124e+08
295,2.41098e+08
296,2.41175e+08
297,2.42383e+08
298,2.46181e+08
299,2.4315e+08
300,2.415e+08
301,2.41607e+08
302,2.39637e+08
303,2.41005e+08
304,2.3716e+08
305,2.39869e+08
306,2.48808e+08
307,2.43874e+08
308,2.42092e+08
309,2.49757e+08
310,2.44241e+08
311,2.45084e+08
312,2.50701e+08
313,2.38939e+08
314,2.45267e+08
315,2.42315e+08
316,2.43114e+08
317,2.38912e+08
318,2.40187e+08
319,5.8163e+08
320,2.39713e+08
321,2.42401e+08
322,2.43671e+08
323,2.39844e+08
324,2.39675e+08
325,2.41331e+08
326,2.43177e+08
327,2.42017e+08
328,2.41102e+08
329,2.44837e+08
330,2.41042e+08
331,2.39605e+08
332,2.39599e+08
333,2.4457e+08
334,2.55025e+08
335,2.47245e+08
336,2.4059e+08
337,2.44944e+08
338,2.43526e+08
339,2.41859e+08
340,2.39091e+08
341,2.48662e+08
342,4.37952e+08
343,2.47573e+08
