n,flops_per_sec
324,5.6185e+09
325,5.44693e+09
326,5.28649e+09
327,5.67052e+09
328,5.34783e+09
329,5.33514e+09
330,5.21053e+09
331,5.22632e+09
332,5.39837e+09
333,5.92878e+09
334,4.74882e+09
335,5.96439e+09
336,3.86207e+09
337,4.0521e+09
338,6.0178e+09
339,5.66574e+09
340,4.81132e+09
341,5.08955e+09
342,5.93064e+09
343,5.73259e+09
344,5.98261e+09
345,5.94828e+09
346,5.03883e+09
347,6.17804e+09
348,6e+09
349,5.69022e+09
350,6.03448e+09
351,5.8663e+09
352,5.70811e+09
353,5.93277e+09
354,6.12104e+09
355,6.13833e+09
356,5.94986e+09
357,5.80488e+09
358,5.98329e+09
359,6.01676e+09
360,6.24277e+09
361,6.05028e+09
362,6.06704e+09
363,5.40447e+09
364,5.9187e+09
365,5.93496e+09
366,5.95122e+09
367,5.95135e+09
368,5.96757e+09
369,6e+09
370,4.87912e+09
371,6.03252e+09
372,6.04878e+09
373,2.51461e+09
374,5.58209e+09
375,6.08108e+09
376,5.19816e+09
377,6.11351e+09
378,6.14634e+09
379,6.14595e+09
380,6.19565e+09
381,5.02418e+09
382,3.91126e+09
383,6.04737e+09
384,6.26087e+09
385,6.26016e+09
386,5.93846e+09
387,5.20628e+09
388,6.11024e+09
389,5.98462e+09
390,6.14173e+09
391,6.18997e+09
392,6.37398e+09
393,6.22164e+09
394,5.58865e+09
395,6.22047e+09
396,6.07673e+09
397,5.47586e+09
398,5.24835e+09
399,6.12276e+09
400,6.31579e+09
401,6.34828e+09
402,6.34737e+09
403,5.44595e+09
404,6.19949e+09
405,6.21483e+09
406,3.20949e+09
407,6.42632e+09
408,5.50112e+09
409,4.34336e+09
410,5.27897e+09
411,6.68293e+09
412,6.48819e+09
413,6.3376e+09
414,6.55409e+09
415,5.75058e+09
416,5.73793e+09
417,5.76498e+09
418,6.43077e+09
419,5.79263e+09
420,5.28302e+09
421,6.47692e+09
422,6.45918e+09
423,5.57802e+09
424,5.56674e+09
425,6.34328e+09
426,6.37406e+09
427,6.38903e+09
428,6.58462e+09
429,5.63239e+09
430,6.26214e+09
431,6.61381e+09
432,6.43176e+09
433,6.46269e+09
434,6.33577e+09
435,6.31961e+09
436,6.19905e+09
437,6.16941e+09
438,6.52109e+09
439,6.56858e+09
440,6.39225e+09
441,6.5985e+09
442,6.42131e+09
443,6.43584e+09
444,6.62687e+09
445,6.65835e+09
446,5.74249e+09
447,6.67164e+09
448,6.19355e+09
449,5.52049e+09
450,6.73317e+09
451,6.41232e+09
452,6.56659e+09
453,6.74442e+09
454,5.69874e+09
455,6.77419e+09
456,6.6247e+09
457,6.62319e+09
458,6.3318e+09
459,2.85389e+09
460,1.74132e+09
461,5.19925e+09
462,5.21053e+09
463,4.65327e+09
464,5.34357e+09
465,6.73913e+09
466,6.59434e+09
467,6.80097e+09
468,5.73061e+09
469,6.30942e+09
470,6.84466e+09
471,5.93697e+09
472,6.85714e+09
473,5.80368e+09
474,6.23684e+09
475,6.75355e+09
476,6.75177e+09
477,6.9466e+09
478,6.94431e+09
479,6.97573e+09
480,6.77647e+09
481,6.8066e+09
482,5.92623e+09
483,6.66207e+09
484,6.84906e+09
485,6.87943e+09
486,6.89362e+09
487,6.74827e+09
488,6.92199e+09
489,4.42534e+09
490,3.70744e+09
491,3.35154e+09
492,3.83377e+09
493,4.06878e+09
494,4.1983e+09
495,3.95473e+09
496,4.09354e+09
497,5.28723e+09
498,6.38462e+09
499,5.87059e+09
500,6.57895e+09
501,6.75506e+09
502,6.44968e+09
503,6.036e+09
504,6.78027e+09
505,6.82432e+09
506,7.01155e+09
507,5.96471e+09
508,6.38994e+09
509,7.02069e+09
510,6.72527e+09
511,6.88989e+09
512,6.30801e+09
