n,flops_per_sec
2,1.33038e+06
3,3.59361e+07
4,7.39496e+07
5,4.16756e+07
6,6.386e+07
7,7.83238e+07
8,9.30802e+07
9,6.16438e+07
10,9.08612e+07
11,7.41173e+07
12,8.65385e+07
13,7.79033e+07
14,8.22489e+07
15,7.62046e+07
16,7.97342e+07
17,8.6512e+07
18,1.04933e+08
19,3.37512e+07
20,7.86537e+07
21,9.24688e+07
22,7.86611e+07
23,8.78775e+07
24,1.02315e+08
25,1.00643e+08
26,1.10099e+08
27,1.09746e+08
28,1.0751e+08
29,1.10076e+08
30,9.79765e+07
31,8.86741e+07
32,1.09626e+08
33,1.09841e+08
34,1.10336e+08
35,9.4182e+07
36,8.78754e+07
37,1.09689e+08
38,1.1246e+08
39,1.09136e+08
40,1.08988e+08
41,1.04255e+08
42,1.09117e+08
43,1.12684e+08
44,1.11485e+08
45,1.00732e+08
46,1.11741e+08
47,1.12324e+08
48,1.08417e+08
49,1.06098e+08
50,1.04489e+08
51,1.11242e+08
52,1.12272e+08
53,1.12807e+08
54,8.59264e+07
55,1.10493e+08
56,9.5969e+07
57,1.11507e+08
58,9.60065e+07
59,1.10727e+08
60,1.10169e+08
61,1.08323e+08
62,1.13247e+08
63,1.03638e+08
64,1.12598e+08
65,1.12958e+08
66,1.13441e+08
67,1.1065e+08
68,1.11284e+08
69,1.13691e+08
70,1.12021e+08
71,1.13757e+08
72,1.13333e+08
73,1.13681e+08
74,1.11193e+08
75,1.1276e+08
76,1.07791e+08
77,1.04457e+08
78,1.1221e+08
79,8.92127e+07
80,1.12753e+08
81,1.0429e+08
82,1.01713e+08
83,1.12229e+08
84,9.83703e+07
85,1.12163e+08
86,1.12631e+08
87,1.11166e+08
88,1.02496e+08
89,6.41971e+07
90,1.13018e+08
91,1.06246e+08
92,1.00427e+08
93,9.51667e+07
94,1.05199e+08
95,1.12721e+08
96,1.13237e+08
97,1.07973e+08
98,1.13558e+08
99,1.13969e+08
100,9.9779e+07
101,1.08674e+08
102,1.11786e+08
103,1.11406e+08
104,1.07847e+08
105,1.11844e+08
106,1.12805e+08
107,1.08053e+08
108,1.08865e+08
109,1.12149e+08
110,1.13669e+08
111,1.00834e+08
112,1.13188e+08
113,1.08801e+08
114,1.15173e+08
115,1.15106e+08
116,1.11305e+08
117,1.15185e+08
118,1.15155e+08
119,1.15232e+08
120,1.15114e+08
121,9.44688e+07
122,8.9806e+07
123,1.05517e+08
124,1.00071e+08
125,1.06135e+08
126,1.0898e+08
127,9.62986e+07
128,1.13123e+08
129,1.03535e+08
130,8.66039e+07
131,1.05317e+08
132,1.01607e+08
133,8.65787e+07
134,9.97372e+07
135,1.06722e+08
136,1.11891e+08
137,9.7946e+07
138,1.09413e+08
139,1.0826e+08
140,1.04036e+08
141,1.06701e+08
142,9.74509e+07
143,1.13432e+08
144,1.01862e+08
145,7.9564e+07
146,1.05289e+08
147,9.71942e+07
148,8.06689e+07
149,1.08125e+08
150,1.10522e+08
151,9.10993e+07
152,8.18727e+07
153,1.01484e+08
154,9.0883e+07
155,9.61978e+07
156,1.03019e+08
157,1.09844e+08
158,1.10789e+08
159,1.00667e+08
160,1.10901e+08
161,1.02212e+08
162,1.03741e+08
163,9.8542e+07
164,9.88195e+07
