MessageSize(Bytes),Bandwidth(Bytes/sec)
8,543662.93
16,46738072.05
32,93023255.81
64,51515964.58
128,346883468.83
256,363007.46
512,919760479.04
1024,17887087.76
2048,77172356.62
4096,119415749.12
8192,227202130.02
16384,148206666.77
32768,597625402.00
65536,1428110699.50
131072,1905781086.43
262144,2437740036.64
524288,3186586410.96
1048576,5771363781.47
2097152,7072675438.20
4194304,7120942553.86
8388608,9319108564.71
16777216,10500787063.82
33554432,11028200417.89
67108864,11341690824.43
134217728,11642722500.09
268435456,11732435624.32
