MessageSize(Bytes),Bandwidth(Bytes/sec)
8,2178253.77
16,31189083.82
32,64257028.11
64,124837451.24
128,245367412.14
256,360642.62
512,695337256.68
1024,1064080360.24
2048,751283932.50
4096,3346405228.76
8192,4855957320.69
16384,3339130434.78
32768,3602726673.02
65536,742780288.03
131072,1735462999.33
262144,757155813.32
524288,2393298792.60
1048576,2265000626.42
2097152,2640164264.98
4194304,2698008352.88
8388608,3322195114.26
16777216,3558496967.81
33554432,3742210510.78
67108864,3802550367.79
134217728,3888240500.93
268435456,3906305559.70
